,0
0,note_on channel=0 note=60 velocity=70 time=0
1,note_off channel=0 note=60 velocity=0 time=0
2,note_on channel=0 note=60 velocity=47 time=0
3,note_off channel=0 note=60 velocity=0 time=0
4,note_on channel=0 note=62 velocity=37 time=0
5,note_off channel=0 note=62 velocity=0 time=0
6,note_on channel=0 note=64 velocity=60 time=0
7,note_off channel=0 note=64 velocity=0 time=0
8,note_on channel=0 note=59 velocity=57 time=0
9,note_off channel=0 note=59 velocity=0 time=0
10,note_on channel=0 note=60 velocity=66 time=0
11,note_off channel=0 note=60 velocity=0 time=0
12,note_on channel=0 note=62 velocity=32 time=0
13,note_off channel=0 note=62 velocity=0 time=0
14,note_on channel=0 note=64 velocity=64 time=0
15,note_off channel=0 note=64 velocity=0 time=0
16,note_on channel=0 note=60 velocity=55 time=0
17,note_off channel=0 note=60 velocity=0 time=0
18,note_on channel=0 note=62 velocity=47 time=0
19,note_off channel=0 note=62 velocity=0 time=0
20,note_on channel=0 note=64 velocity=50 time=0
21,note_off channel=0 note=64 velocity=0 time=0
22,note_on channel=0 note=65 velocity=55 time=0
23,note_off channel=0 note=65 velocity=0 time=0
24,note_on channel=0 note=67 velocity=37 time=0
25,note_off channel=0 note=67 velocity=0 time=0
26,note_on channel=0 note=67 velocity=41 time=0
27,note_off channel=0 note=67 velocity=0 time=0
28,note_on channel=0 note=67 velocity=57 time=0
29,note_off channel=0 note=67 velocity=0 time=0
30,note_on channel=0 note=67 velocity=15 time=0
31,note_off channel=0 note=67 velocity=0 time=0
32,note_on channel=0 note=67 velocity=50 time=0
33,note_off channel=0 note=67 velocity=0 time=0
34,note_on channel=0 note=67 velocity=73 time=0
35,note_off channel=0 note=67 velocity=0 time=0
36,note_on channel=0 note=60 velocity=45 time=0
37,note_off channel=0 note=60 velocity=0 time=0
38,note_on channel=0 note=60 velocity=75 time=0
39,note_off channel=0 note=60 velocity=0 time=0
